model,model_key,protocol,degree,task,seed,split,geometry_id,beta1,beta2,harmonic_dimension,basis_index,probe_mode,pure_harmonic_identity_error,harmonic_preservation_error,harmonic_to_nonharmonic_leakage,predicted_norm,coefficient_identity_error
GNOT,gnot,A,2,A-k2,0,test_iid,PA_test_iid_0066_b11,1,1,1,0,combined,0.1640264391899109,0.1233945712447166,0.1080668792128562,0.8832414746284485,0.1233945488929748
GNOT,gnot,A,2,A-k2,0,test_iid,PA_test_iid_0132_b11,1,1,1,0,combined,0.2150912284851074,0.1564903259277343,0.1475635766983032,0.8563197255134583,0.1564904451370239
GNOT,gnot,A,2,A-k2,0,test_iid,PA_test_iid_0199_b11,1,1,1,0,combined,0.1580962091684341,0.1071371734142303,0.1162584647536277,0.9003998637199402,0.107137382030487
GNOT,gnot,A,2,A-k2,0,test_ood,PA_test_ood_0000_b11,1,1,1,0,combined,0.178720623254776,0.1096046417951583,0.1411661654710769,0.9015164375305176,0.1096047759056091
GNOT,gnot,A,2,A-k2,0,test_ood,PA_test_ood_0066_b11,1,1,1,0,combined,0.1918937563896179,0.1257483214139938,0.1449501663446426,0.8861864805221558,0.1257486939430236
GNOT,gnot,A,2,A-k2,0,test_ood,PA_test_ood_0132_b11,1,1,1,0,combined,0.2332197874784469,0.1675213575363159,0.1622591465711593,0.8481441736221313,0.1675217151641845
GNOT,gnot,A,2,A-k2,0,test_ood,PA_test_ood_0199_b11,1,1,1,0,combined,0.1543431878089904,0.1076403111219406,0.1106136441230773,0.8991891741752625,0.1076407432556152
GNOT,gnot,B,1,B-k1,0,test_iid,PB_test_iid_0000_b10,1,0,1,0,combined,0.10188490152359,0.0655736178159713,0.0779784023761749,0.9376744031906128,0.0655736327171325
GNOT,gnot,B,1,B-k1,0,test_iid,PB_test_iid_0066_b10,1,0,1,0,combined,0.1079769730567932,0.0724381580948829,0.0800733491778373,0.93101167678833,0.0724381208419799
GNOT,gnot,B,1,B-k1,0,test_iid,PB_test_iid_0132_b10,1,0,1,0,combined,0.0898414924740791,0.0476461760699749,0.076166495680809,0.9553947448730468,0.0476462841033935
GNOT,gnot,B,1,B-k1,0,test_iid,PB_test_iid_0198_b10,1,0,1,0,combined,0.0906994342803955,0.047707088291645,0.0771389752626419,0.9554120898246764,0.0477070212364196
GNOT,gnot,B,1,B-k1,0,test_ood,PB_test_ood_0000_b30,3,0,3,0,combined,0.2799519896507263,0.2240749448537826,0.1678199619054794,0.8602434992790222,0.2240748852491378
GNOT,gnot,B,1,B-k1,0,test_ood,PB_test_ood_0066_b30,3,0,3,0,combined,0.2142754197120666,0.1821073442697525,0.1129196882247924,0.874129593372345,0.182107463479042
GNOT,gnot,B,1,B-k1,0,test_ood,PB_test_ood_0132_b30,3,0,3,0,combined,0.2172531932592392,0.1631159484386444,0.1434995681047439,0.905498206615448,0.1631160080432891
GNOT,gnot,B,1,B-k1,0,test_ood,PB_test_ood_0199_b30,3,0,3,0,combined,0.1551726460456848,0.0614368692040443,0.1424923241138458,0.9540744423866272,0.06143693998456
GNOT,gnot,C,2,C-k2,0,test_iid,PC_test_iid_0000_b01,0,1,1,0,combined,0.3442953824996948,0.2580837309360504,0.2278861105442047,0.7761261463165283,0.2580838203430176
GNOT,gnot,C,2,C-k2,0,test_iid,PC_test_iid_0066_b01,0,1,1,0,combined,0.3627106547355652,0.2676180899143219,0.2448255717754364,0.7722193598747253,0.2676182389259338
GNOT,gnot,C,2,C-k2,0,test_iid,PC_test_iid_0132_b01,0,1,1,0,combined,0.3502432107925415,0.2247114330530166,0.2686542272567749,0.8205165863037109,0.2247116565704345
GNOT,gnot,C,2,C-k2,0,test_iid,PC_test_iid_0199_b02,0,2,2,0,combined,0.415258377790451,0.3703750371932983,0.1877813637256622,0.68124920129776,0.3703752160072326
GNOT,gnot,C,2,C-k2,0,test_ood,PC_test_ood_0000_b03,0,3,3,0,combined,0.4407367408275604,0.3839756846427917,0.2163598388433456,0.7008681893348694,0.3839755654335022
GNOT,gnot,C,2,C-k2,0,test_ood,PC_test_ood_0066_b03,0,3,3,0,combined,0.4254539608955383,0.3831501305103302,0.1849514693021774,0.705522358417511,0.3831502497196197
GNOT,gnot,C,2,C-k2,0,test_ood,PC_test_ood_0132_b03,0,3,3,0,combined,0.3279425501823425,0.2196536064147949,0.2435130774974823,0.8254024386405945,0.2196535468101501
GNOT,gnot,C,2,C-k2,0,test_ood,PC_test_ood_0199_b03,0,3,3,0,combined,0.2401725053787231,0.1597736626863479,0.1793187409639358,0.8604046702384949,0.1597736030817031
GNOT,gnot,D,1,D-k1,0,test_iid,PD_test_iid_0000_b10,1,0,1,0,combined,0.149158701300621,0.0920388996601104,0.1173761412501335,0.9155165553092957,0.0920389294624328
GNOT,gnot,D,1,D-k1,0,test_iid,PD_test_iid_0066_b21,2,1,2,0,combined,0.1638089269399643,0.1320667713880539,0.0969109907746315,0.927151620388031,0.1320666819810867
GNOT,gnot,D,1,D-k1,0,test_iid,PD_test_iid_0131_b22,2,2,2,0,combined,0.2100178599357605,0.1393006145954132,0.157171368598938,0.8979167342185974,0.1393006592988968
GNOT,gnot,D,1,D-k1,0,test_iid,PD_test_iid_0198_b10,1,0,1,0,combined,0.1436048001050949,0.0976435244083404,0.1052999347448349,0.908479630947113,0.097643494606018
GNOT,gnot,D,1,D-k1,0,test_ood,PD_test_ood_0000_b33,3,3,3,0,combined,0.2071063369512558,0.1615785658359527,0.1295584738254547,0.8625755310058594,0.1615785360336303
GNOT,gnot,D,1,D-k1,0,test_ood,PD_test_ood_0066_b33,3,3,3,0,combined,0.2120188772678375,0.1617916226387024,0.1370236128568649,0.8649094104766846,0.1617917120456695
GNOT,gnot,D,1,D-k1,0,test_ood,PD_test_ood_0132_b33,3,3,3,0,combined,0.2251186370849609,0.1842575222253799,0.1293351501226425,0.8630244135856628,0.1842576265335083
GNOT,gnot,D,1,D-k1,0,test_ood,PD_test_ood_0199_b33,3,3,3,0,combined,0.1869858056306839,0.1364442557096481,0.12785404920578,0.8888536095619202,0.1364443451166153
GNOT,gnot,D,2,D-k2,0,test_iid,PD_test_iid_0001_b01,0,1,1,0,combined,0.2721481621265411,0.21198371052742,0.1706678420305252,0.8062860369682312,0.2119839191436767
GNOT,gnot,D,2,D-k2,0,test_iid,PD_test_iid_0066_b21,2,1,1,0,combined,0.2787550091743469,0.1735339611768722,0.2181520313024521,0.8547727465629578,0.173534095287323
