model,protocol,degree,seed,iid_loss,ood_loss,ood_iid_ratio
Transolver,B,0,1,0.03467421322246082,0.047856445787474514,1.380173948877798
Transolver,B,0,2,0.035067055585677735,0.049330142724793406,1.406737517618704
Transolver,B,1,0,0.38326162289828064,0.41134681187570094,1.0732794188080612
Transolver,B,1,1,0.38372320994734765,0.4230182682722807,1.1024046951194975
Transolver,B,1,2,0.45545975701883434,0.46827534928917885,1.0281377049736022
Transolver,B,2,0,0.45041247209534047,0.6122042696923018,1.3592080761980194
Transolver,B,2,1,0.43782327758148315,0.578863318040967,1.32213920017817
Transolver,B,2,2,0.4399078060686588,0.5767335633561015,1.3110328014185944
Transolver,C,0,0,0.031502788913203406,0.033333580571925266,1.0581152247747354
Transolver,C,0,1,0.03169860846537631,0.033590898527763785,1.059696313308339
Transolver,C,0,2,0.03186649495561142,0.03375266624731012,1.0591897946205269
Transolver,C,1,0,0.24135941326618193,0.2460399137623608,1.0193922434299962
Transolver,C,1,1,0.32539455240592363,0.32442859657108786,0.9970314320639555
Transolver,C,1,2,0.27550071742385623,0.2822938651777804,1.0246574593977298
Transolver,C,2,0,0.5111907929554582,0.6522071898728609,1.2758586399847187
Transolver,C,2,1,0.49149851497262714,0.6544884655252099,1.33161839880973
Transolver,C,2,2,0.4916999524459243,0.6356922774761915,1.292845920187684
Transolver,D,0,0,0.035092328804312276,0.04057572545018047,1.1562562768759415
Transolver,D,0,1,0.034878654269268734,0.039443073295988146,1.1308656862584598
Transolver,D,0,2,0.037353610320715235,0.0412035733833909,1.103068030897688
Transolver,D,1,0,0.4642726739123464,0.4725448517873883,1.017817498939435
Transolver,D,1,1,0.36548703277483585,0.3862917209416628,1.056923190978554
Transolver,D,1,2,0.2941276979446411,0.34007598998025057,1.1562188544523186
Transolver,D,2,0,0.5558079746738076,0.648625961318612,1.1669965003637766
Transolver,D,2,1,0.5729507326893508,0.6554934731125832,1.1440660351995506
Transolver,D,2,2,0.5886054399237036,0.6923470544815064,1.1762498399118602
GNOT,A,0,0,0.020594874488888307,0.022561675336910413,1.0954995306761042
GNOT,A,0,1,0.02022884651669301,0.02213540114578791,1.0942493002515785
GNOT,A,0,2,0.020177270997082816,0.021951027539325877,1.0879086444593775
GNOT,A,1,0,0.35904775634408,0.3617592620104551,1.0075519359708145
GNOT,A,1,1,0.254471474410966,0.26643545750528574,1.047015026426884
GNOT,A,1,2,0.3257355071231723,0.32944078648462893,1.0113751165606135
GNOT,A,2,0,0.4351468093320727,0.5031961825303733,1.1563825627097044
GNOT,A,2,1,0.39093090515583756,0.4469584277831018,1.143318222960474
GNOT,A,2,2,0.4170970509015024,0.48637690782547,1.16610008815509
GNOT,B,0,0,0.01827779818617273,0.037752685386221854,2.065494158633505
GNOT,B,0,1,0.017072174720233306,0.032634941367432474,1.9115866550237888
GNOT,B,0,2,0.01840135570266284,0.03500492988503538,1.9023016809554885
GNOT,B,1,0,0.21613463531248273,0.3193048852495849,1.4773425128644508
GNOT,B,1,1,0.21663027456961573,0.3079116935096681,1.4213696313749464
GNOT,B,1,2,0.13112975033931434,0.2535137319564819,1.9333044660001562
GNOT,B,2,0,0.4182153972052038,0.5729556615278125,1.3700013566135707
GNOT,B,2,1,0.41373343570157883,0.5598653769493103,1.3532031221985519
GNOT,B,2,2,0.4080641155317426,0.5426398523524404,1.3297906669527508
GNOT,C,0,0,0.016121804503491148,0.019616060444386674,1.216740994479796
GNOT,C,0,1,0.015882962986943312,0.019521575908875093,1.229089051263478
GNOT,C,0,2,0.01635572281840723,0.02024475708254613,1.2377781958839544
GNOT,C,1,0,0.08351534322835505,0.10069506952539087,1.2057074261200302
GNOT,C,1,1,0.08791027511935681,0.10558163557201623,1.2010158702002331
GNOT,C,1,2,0.08909449959173799,0.10843773036263883,1.2171091465751338
GNOT,C,2,0,0.42918237680569293,0.5912644987553358,1.3776532558395882
GNOT,C,2,1,0.4211112085916102,0.5768615715578198,1.3698556575758467
GNOT,C,2,2,0.4160417756997049,0.571849355455488,1.3744998431797952
