model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,B,2,B-k2,beta_total,all,1600,400,4,0.0,3.0,1.9975,1.1568622244584645,0.6018661620281633,0.624209463596344,0.138239198391268,ok,0.4217814091161808,0.09015507029385855,0.002069461190324304,0.08608666005195123,0.09422348053576587,9.769802338001496e-154,0.7544675922610852,0.5692213477722382,0.7544675922610846,1.5535395600907025e-294,0.7260919700695528,3.1560036666489476e-262
GAOT,B,2,B-k2,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.6018661620281633,0.624209463596344,0.138239198391268,constant_predictor,,,,,,,,,,,,
GAOT,B,2,B-k2,log_lambda1_positive,all,1600,400,341,2.269147735025334,2.6801398291281306,2.4316724405207566,0.11758202001057262,0.6018661620281633,0.624209463596344,0.138239198391268,ok,2.4576252920665027,-0.7631616409819241,0.02045785039289678,-0.8033802874851841,-0.7229429944786641,3.773106528545459e-132,-0.6491218727068818,0.42135920562695517,-0.6491218727072404,4.489677246394943e-192,-0.5062516624850799,7.015820071891596e-105
GAOT,B,2,B-k2,initial_rayleigh_quotient,all,1600,400,1600,18.10295563287944,42.92928857678454,26.149336602373523,4.543025397123421,0.6018661620281633,0.624209463596344,0.138239198391268,ok,-0.06171140465962853,0.02537645894341961,0.0007261240045680451,0.023948951942615964,0.026803965944223258,1.734984996801294e-123,0.8339595339862533,0.6954885043265707,0.8339595339862544,0.0,0.8854999168594646,0.0
GAOT,B,2,B-k2,target_norm_retention,all,1600,400,1600,0.07724110015150125,0.21958787048386205,0.15267364116347337,0.02544651991165597,0.6018661620281633,0.624209463596344,0.138239198391268,ok,0.790553535238669,-1.2358870317926658,0.1582885029719479,-1.5470707204156602,-0.9247033431696713,5.179227278691944e-14,-0.2274971522480701,0.05175495428098287,-0.227497152248073,3.1464049897902585e-20,-0.167751878639224,1.4508270755974288e-11
GAOT,C,0,C-k0,log_nk,all,1600,400,236,7.383989457978509,7.816416983691801,7.638937468881613,0.13285965075075507,0.32429312436841384,0.31990876793861356,0.023385803168013357,ok,0.4029135218115844,-0.010292059303187412,0.0043576992064357665,-0.018858979120531933,-0.0017251394858428908,0.018665493028162915,-0.058471346684292685,0.0034188983830311104,-0.0584713466839198,0.01933402031418606,-0.0405457568008866,0.10496844448268108
GAOT,C,0,C-k0,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.32429312436841384,0.31990876793861356,0.023385803168013357,constant_predictor,,,,,,,,,,,,
GAOT,C,0,C-k0,beta_total,all,1600,400,4,0.0,3.0,2.0025,1.1525293716301959,0.32429312436841384,0.31990876793861356,0.023385803168013357,ok,0.3265762304480153,-0.0011401278799506034,0.0005073487786890388,-0.0021375386925274707,-0.00014271706737373625,0.02517133945957599,-0.05618925549047817,0.003157232432574264,-0.056189255490479456,0.024602381330307982,-0.03258217622450882,0.19270646360252822
GAOT,C,0,C-k0,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.32429312436841384,0.31990876793861356,0.023385803168013357,constant_predictor,,,,,,,,,,,,
GAOT,C,0,C-k0,log_lambda1_positive,all,1600,400,335,0.6671266100083025,0.7461019031171019,0.7075874038421409,0.014334179386468063,0.32429312436841384,0.31990876793861356,0.023385803168013357,ok,0.2801063947606409,0.06244702685193973,0.039432382783539666,-0.01507417080541866,0.13996822450929813,0.1140660285996305,0.03827650812830021,0.0014650910744710144,0.038276508127978455,0.12591166965755662,0.022958913363476528,0.35874464521568084
GAOT,C,0,C-k0,initial_rayleigh_quotient,all,1600,400,1600,2.020287562688089,10.188545072201846,3.8882111853426875,1.9844282328946323,0.32429312436841384,0.31990876793861356,0.023385803168013357,ok,0.29992308160794867,0.0062676746706383756,0.0003676631498784645,0.0055448756485880785,0.0069904736926886726,2.398049430128781e-49,0.5318504770460682,0.2828649299341287,0.5318504770460666,1.5804356811347607e-117,0.3947984494291784,8.035804471705078e-61
