model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,B,0,B-k0,log_nk,all,1600,400,274,7.383989457978509,8.155649270366002,7.870143704693032,0.25330373664630723,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.4490900045783818,-0.016698846648537376,0.0024880854442224398,-0.021590241737917522,-0.011807451559157231,6.629064292090933e-11,-0.16878643947523547,0.02848886215084212,-0.1687864394755755,1.0832199761387617e-11,-0.20410489134952642,1.6550101128718704e-16
GAOT,B,0,B-k0,log_nk,iid,800,200,117,7.383989457978509,7.988542982737695,7.674815803605809,0.22556013876593328,0.3198416555300351,0.3159223049879071,0.02363058739202897,ok,0.5075716275328104,-0.024460518246519264,0.0034791006602375636,-0.031321153561577116,-0.01759988293146141,3.215241095850132e-11,-0.23348204589415414,0.05451386575538253,-0.233482045895145,2.2908980750968182e-11,-0.2703079580372757,7.32340001848028e-15
GAOT,B,0,B-k0,log_nk,ood,800,200,159,7.980023592310645,8.155649270366002,8.065471605780253,0.033571027992587404,0.3154937079735096,0.30993823707103707,0.02624841123794046,ok,0.6690571971785422,-0.043836678930355505,0.031735232470871906,-0.10641717828456726,0.01874382042385625,0.16872799102241995,-0.05606596003593021,0.0031433918748207113,-0.05606596003655549,0.11306821724266317,-0.06703974596170971,0.058047630363070674
GAOT,B,0,B-k0,beta_k,all,1600,400,1,1.0,1.0,1.0,0.0,0.31766768175177235,0.3137575685977935,0.025060545544470677,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,beta_k,iid,800,200,1,1.0,1.0,1.0,0.0,0.3198416555300351,0.3159223049879071,0.02363058739202897,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,beta_k,ood,800,200,1,1.0,1.0,1.0,0.0,0.3154937079735096,0.30993823707103707,0.02624841123794046,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,beta_total,all,1600,400,4,0.0,3.0,1.9975,1.1568622244584645,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.32415616497719346,-0.003248301990198294,0.0005651541162340005,-0.004359353893704717,-0.002137250086691871,1.7998012287014802e-08,-0.149950361592299,0.02248511094166228,-0.14995036159230254,1.6658178315866563e-09,-0.19887818761631756,9.80746659092484e-16
GAOT,B,0,B-k0,beta_total,iid,800,200,3,0.0,2.0,0.995,0.8159701336898565,0.3198416555300351,0.3159223049879071,0.02363058739202897,ok,0.326321144301216,-0.006512049016262263,0.0009564641594083207,-0.008398154774747497,-0.0046259432577770284,1.138278126712139e-10,-0.22486269250280272,0.05056323047960953,-0.2248626925028015,1.2536649687935696e-10,-0.27089946503058665,6.367040630232246e-15
GAOT,B,0,B-k0,beta_total,ood,800,200,1,3.0,3.0,3.0,0.0,0.3154937079735096,0.30993823707103707,0.02624841123794046,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.31766768175177235,0.3137575685977935,0.025060545544470677,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,rho_H,iid,800,200,1,0.0,0.0,0.0,0.0,0.3198416555300351,0.3159223049879071,0.02363058739202897,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,rho_H,ood,800,200,1,0.0,0.0,0.0,0.0,0.3154937079735096,0.30993823707103707,0.02624841123794046,constant_predictor,,,,,,,,,,,,
GAOT,B,0,B-k0,log_lambda1_positive,all,1600,400,334,0.4839635920958233,0.78652672909991,0.660299946497459,0.05208200265921611,0.31766768175177235,0.3137575685977935,0.025060545544470677,ok,0.28877026326087235,0.04376407819534799,0.015495967365363537,0.01330013297508175,0.07422802341561424,0.0049772467623503845,0.09095256258103136,0.008272368640026895,0.0909525625808684,0.00026967628969546076,0.15171095467583418,1.067140163499929e-09
GAOT,B,0,B-k0,log_lambda1_positive,iid,800,200,134,0.5910233297863299,0.7641555981649725,0.6869600234305279,0.04167734597343741,0.3198416555300351,0.3159223049879071,0.02363058739202897,ok,0.2556096293153017,0.09350184002553001,0.020230870588720997,0.05360744237223903,0.133396237678821,6.8325664363739475e-06,0.16490950780222716,0.027195145763500683,0.16490950780200775,2.7428491224724685e-06,0.21704299646914385,5.525664916360746e-10
GAOT,B,0,B-k0,log_lambda1_positive,ood,800,200,200,0.4839635920958233,0.78652672909991,0.6336398695643902,0.04762525821114128,0.3154937079735096,0.30993823707103707,0.02624841123794046,ok,0.32692039061818745,-0.01803340224240966,0.024208598228515493,-0.06577170594623509,0.029704901461415772,0.4572005862289634,-0.03271990180414143,0.0010705919740742198,-0.03271990180416369,0.3553514904665454,-0.0064770860242435125,0.8548646180666872
