scope,degree,metric,median,mean,q25,q75,minimum,maximum
iid,2,delta_rank_R2_J_over_q,0.37507236227157814,0.34480788535031937,0.06889067639109561,0.5766481739275391,0.00018625697432206323,0.7346665550507311
ood,0,delta_rank_R2_J_over_q,0.0012593102540621737,0.008615265927180751,0.0003697368972273296,0.004067781519590696,1.6284914577946452e-06,0.05143851942678401
ood,1,delta_rank_R2_J_over_q,0.1000177757708966,0.1462998275819939,0.024924092417641736,0.1928352722314632,0.0020504653510544646,0.6961943797264499
ood,2,delta_rank_R2_J_over_q,0.07021254138877475,0.12203284505015842,0.008888506979400523,0.21144677477388865,2.6424921007350832e-05,0.3922873727584354
all,0,delta_rank_R2_J_over_R_q,0.006501194848324454,0.013458866626509894,0.0017569212474455864,0.01493950368656638,0.00028265943681082817,0.052172208146339605
all,1,delta_rank_R2_J_over_R_q,0.00545296522420996,0.022001309851733906,0.0013077107654272946,0.026119651058579274,1.0205880003333334e-05,0.12641382989210914
all,2,delta_rank_R2_J_over_R_q,0.011117791510307118,0.023828907349720197,0.003654536524422991,0.02456637803537795,0.00011284032202663052,0.11578365604090879
iid,0,delta_rank_R2_J_over_R_q,0.004884198614442281,0.01115113701599583,0.0016232137593283902,0.014589272736321823,8.474984721196233e-05,0.04507071122484596
iid,1,delta_rank_R2_J_over_R_q,0.008680737963092378,0.02179692301876195,0.0013558259756305813,0.028266000246354728,0.0002887821788355449,0.12252420873804926
iid,2,delta_rank_R2_J_over_R_q,0.030170227821224416,0.0586415478797922,0.008812199998199821,0.08734143980083997,0.00012101870503178347,0.2121080319748211
ood,0,delta_rank_R2_J_over_R_q,0.0019087536642776737,0.010975110280442573,0.0003738703107885599,0.0033225004029159566,2.2927793591143164e-05,0.06255966349289754
ood,1,delta_rank_R2_J_over_R_q,0.005314684044942897,0.026697141100858718,0.0015549555022630612,0.04495768237959885,8.603110082827659e-05,0.1450397917269548
ood,2,delta_rank_R2_J_over_R_q,0.01010920794331216,0.022184489375281027,0.001403541727075741,0.03208859363208244,1.1023989961334024e-05,0.08202453242984176
